;Bank;;Navn;Rente
235;Selbu Sparebank;;Sparekonto;0,20
236;SpareBank 1 Sørøst-Norge;;Plasseringskonto Privat;0,20
237;SpareBank 1 Lom og Skjåk;;Kapitalkonto;0,20
238;Trøgstad Sparebank;;Kapitalkonto krone+;0,20
239;Ørland Sparebank;;Totalkonto;0,20
240;Sparebanken Sogn og Fjordane;;Sparekonto Pluss;0,20
241;Melhusbanken;;Sparekonto;0,20
242;Oslofjord Sparebank;;Fornebukonto;0,20
243;Haltdalen Sparebank;;Kapitalkonto;0,20
244;Spareskillingsbanken;;Skillingskonto;0,20
245;SpareBank 1 Nordmøre;;LOfavør sparekonto;0,20
246;Melhusbanken;;Høyrente med 31 d oppsigelse;0,20
247;Kvinesdal Sparebank;;Kapitalkonto;0,20
248;Luster Sparebank;;Langtidssparing;0,20
249;Sparebanken Sør;;Sparekonto Total, UNG 18-33 og Student;0,20
250;Sbanken ASA;;Sparekonto;0,16
251;Vekselbanken;;Sparekonto;0,15
252;Sparebank 68° Nord;;Plasseringskonto PM;0,15
253;Cultura Sparebank;;Støttekonto;0,15
254;Valdres Sparebank;;BSU Pluss etter 34 år;0,15
255;Rørosbanken Røros Sparebank;;BSU Pluss etter 34 år;0,15
256;SpareBank 1 Nord-Norge;;StartBSU over 34 år;0,15
257;Hjartdal og Gransherad Sparebank;;Sparekonto;0,15
258;Sparebank 68° Nord;;Sparekonto;0,15
259;Rørosbanken Røros Sparebank;;Sparekonto m/32 dagers oppsigelse;0,15
260;Cultura Sparebank;;Sparekonto;0,15
261;Blaker Sparebank;;Sparekonto uten binding;0,15
262;Valdres Sparebank;;Sparekonto/Kapitalkonto;0,15
263;Hjartdal og Gransherad Sparebank;;Avtalespar;0,15
264;Sparebanken Sør;;Sparekonto;0,15
265;Nidaros Sparebank;;Bufferspar;0,15
266;SpareBank 1 Helgeland;;LOfavør Sparekonto;0,15
267;Rørosbanken Røros Sparebank;;Sparekonto;0,15
268;Bjugn Sparebank;;Sparekonto;0,15
269;Bjugn Sparebank;;Sparekonto Pluss;0,15
270;Sparebank 68° Nord;;BSU Pluss etter 34 år;0,15
271;Skagerrak Sparebank;;Kapitalkonto;0,15
272;Valdres Sparebank;;Sparekonto Ubekymra;0,15
273;SpareBank 1 Nord-Norge;;IPA Høyrentekonto;0,15
274;Hegra Sparebank;;Høyrente med 62 dager binding;0,10
275;Oslofjord Sparebank;;Sparekonto;0,10
276;Sparebanken Vest;;Høyrentekonto;0,10
277;Oppdalsbanken;;Sparekonto;0,10
278;Sparebanken DIN;;BSU-PLUSS etter 34 år;0,10
279;Larvikbanken;;Sparekonto ordinær;0,10
280;NORDirekte (Skagerrak Sparebank);;Høyrente Privat;0,10
281;SpareBank 1 Gudbrandsdal;;Kapitalkonto;0,10
282;Sunndal Sparebank;;Sunndalskonto;0,10
283;SpareBank 1 SMN;;Plasseringskonto;0,10
284;SpareBank 1 Nord-Norge;;Sparekonto;0,10
285;SpareBank 1 Modum;;Kapitalkonto;0,10
286;Aurskog Sparebank;;Plasseringskonto;0,10
287;SpareBank 1 Sørøst-Norge;;Sparekonto Privat;0,10
288;SpareBank 1 Modum;;BSU+ etter 34 år;0,10
289;Spareskillingsbanken;;Sparekonto;0,10
290;Lillesands Sparebank;;Spar Total;0,10
291;SpareBank 1 Nord-Norge;;LOfavør Sparekonto;0,10
292;SpareBank 1 Lom og Skjåk;;Plasseringskonto+;0,10
293;Etne Sparebank;;Sparekonto;0,10
